id	datastore	extent	mapping 
1	monrovia_basic	liberia:monrovia	basic:buildings_and_roads
2	monrovia_landuse	liberia:monrovia	landuse:landuse_all
3	monrovia_medicalcenters	liberia:monrovia	health:medical_centers
4	monrovia_schools	liberia:monrovia	education:schools
5	monrovia_inlandwaters	liberia:monrovia	inlandWaters:inland_waters
6	kenema_basic	sierra_leone:kenema	basic:buildings_and_roads
7	kenema_landuse	sierra_leone:kenema	landuse:landuse_all
8	kenema_medicalcenters	sierra_leone:kenema	health:medical_centers
9	kenema_schools	sierra_leone:kenema	education:schools
10	kenema_inlandwaters	sierra_leone:kenema	inlandWaters:inland_waters
